timestamp,Intensity,emotion
2024-11-20 14:42:41.599400,0.8097186,surprise
2024-11-20 14:42:42.171582,0.9784201,surprise
2024-11-20 14:42:42.678326,0.99661994,surprise
2024-11-20 14:42:43.113195,0.99931824,surprise
2024-11-20 14:42:43.475572,0.98741907,surprise
2024-11-20 14:42:43.885420,0.9948666,surprise
2024-11-20 14:42:44.287865,0.99961793,surprise
2024-11-20 14:42:44.687975,0.97342515,surprise
2024-11-20 14:42:45.119945,0.68285984,surprise
2024-11-20 14:42:45.604811,0.8746882,surprise
2024-11-20 14:42:45.994257,0.94215816,surprise
2024-11-20 14:42:46.412790,0.8035567,surprise
2024-11-20 14:42:46.804220,0.6375422,happy
2024-11-20 14:42:47.138703,0.9916815,happy
2024-11-20 14:42:47.508886,0.66276497,happy
2024-11-20 14:42:47.832048,0.98462003,surprise
2024-11-20 14:42:48.169529,0.997056,surprise
2024-11-20 14:42:48.537162,0.9484205,surprise
2024-11-20 14:42:48.866339,0.99964774,surprise
2024-11-20 14:42:49.203974,0.9761583,surprise
2024-11-20 14:42:49.516496,0.9630383,surprise
2024-11-20 14:42:49.878188,0.99647576,surprise
2024-11-20 14:42:50.416716,0.98297405,surprise
2024-11-20 14:42:50.856828,0.9924149,surprise
2024-11-20 14:42:51.238330,0.9993668,surprise
2024-11-20 14:42:51.601313,0.9917858,surprise
